date,ticker,open,high,low,close,volume
2025-02-19,BBRI,4160.000,4180.000,4010.000,4020.000,348358600
2025-02-20,BBRI,3970.000,4020.000,3910.000,3910.000,312753300
2025-02-21,BBRI,3910.000,3930.000,3870.000,3890.000,205268800
2025-02-24,BBRI,3900.000,3940.000,3870.000,3920.000,138610800
2025-02-25,BBRI,3880.000,3920.000,3800.000,3800.000,404555100
2025-02-26,BBRI,3800.000,3860.000,3760.000,3820.000,242834100
2025-02-27,BBRI,3790.000,3800.000,3610.000,3630.000,410928000
2025-02-28,BBRI,3500.000,3540.000,3360.000,3360.000,1000597600
2025-03-03,BBRI,3520.000,3740.000,3470.000,3670.000,744626800
2025-03-04,BBRI,3680.000,3720.000,3600.000,3670.000,338434700
2025-03-05,BBRI,3710.000,3900.000,3710.000,3840.000,441151000
2025-03-06,BBRI,3870.000,3990.000,3870.000,3950.000,434485100
2025-03-07,BBRI,3930.000,3930.000,3810.000,3810.000,243793600
2025-03-10,BBRI,3790.000,3810.000,3730.000,3760.000,232192200
2025-03-11,BBRI,3700.000,3790.000,3660.000,3790.000,273961800
2025-03-12,BBRI,3810.000,3920.000,3810.000,3890.000,271631200
2025-03-13,BBRI,3960.000,3970.000,3800.000,3800.000,209225800
2025-03-14,BBRI,3750.000,3840.000,3750.000,3750.000,156131900
2025-03-17,BBRI,3780.000,3840.000,3730.000,3830.000,162467700
2025-03-18,BBRI,3840.000,3860.000,3500.000,3680.000,416894600
2025-03-19,BBRI,3710.000,3780.000,3680.000,3710.000,352217700
2025-03-20,BBRI,3730.000,3760.000,3640.000,3660.000,313033000
2025-03-21,BBRI,3600.000,3700.000,3550.000,3700.000,627645600
2025-03-24,BBRI,3650.000,3740.000,3520.000,3610.000,342883200
2025-03-25,BBRI,3660.000,3840.000,3660.000,3800.000,331285900
2025-03-26,BBRI,3870.000,4020.000,3860.000,4000.000,540888800
2025-03-27,BBRI,4000.000,4050.000,3930.000,4050.000,322553200
2025-04-08,BBRI,3460.000,3750.000,3450.000,3640.000,734807100
2025-04-09,BBRI,3610.000,3710.000,3600.000,3630.000,366649900
2025-04-10,BBRI,3920.000,3930.000,3770.000,3800.000,417562900
2025-04-11,BBRI,3600.000,3650.000,3590.000,3630.000,301274200
2025-04-14,BBRI,3630.000,3690.000,3620.000,3690.000,169458300
2025-04-15,BBRI,3730.000,3780.000,3680.000,3690.000,254228400
2025-04-16,BBRI,3690.000,3700.000,3600.000,3650.000,233821600
2025-04-17,BBRI,3670.000,3670.000,3610.000,3640.000,121059300
2025-04-21,BBRI,3620.000,3660.000,3570.000,3620.000,107470200
2025-04-22,BBRI,3600.000,3650.000,3600.000,3630.000,147116900
